status	label	forms
map	energy system	energy system ; energy systems ; Energy systems ; energy in this system ; système énergétique ; energy system
map	energy technologies	energy technologies ; energy technology ; technologies de l'énergie ; energy technologies
map	environmental change	environmental change ; environmental changes ; Environmental change ; Environmental changes ; changements environnementaux ; environmental change
map	environmental data	environmental data ; données environnementales
map	environmental degradation	environmental degradation ; dégradation de l'environnement
map	environmental drivers	environmental drivers ; Environmental drivers ; facteurs environnementaux ; environmental factors ; Environmental factors ; environmental factor
map	environmental flows	environmental flows ; Environmental flows ; environmental flow ; flux environnementaux ; environmental flows
map	environmental gradients	environmental gradients ; environmental gradient ; gradients environnementaux ; environmental gradients
map	environmental performance	environmental performance ; environmental performances ; performance and environmental ; performance environnementale ; environmental performance
map	environmental policy	environmental policy ; environmental policies ; policy and environmental ; politique environnementale ; environmental policy
map	environmental protection	environmental protection ; protection environementale
map	environmental sustainability	environmental sustainability ; sustainability and environmental ; durabilité environnementale ; environmental sustainability
map	environmental temperature	environmental temperature ; environmental temperatures ; Environmental temperature ; température de l'environnement ; environmental temperature
map	environmental variability	environmental variability ; Environmental variability ; variabilité environnementale ; environmental variability
map	environmental variation	environmental variation ; Environmental variation ; variation environnementale ; environmental variation
map	enzyme activities	enzyme activities ; enzyme activity ; activity of an enzyme ; activity of enzyme ; activités enzymatiques ; enzyme activities
map	epidemics	epidemics ; epidemic ; épidémies ; epidemics
map	erosion	erosion ; érosion
map	evaporation	evaporation ; Evaporation ; évaporation ; evaporation
map	evapotranspiration	evapotranspiration ; évapotranspiration
map	exotic species	exotic species ; espèces exotiques
map	experimental warming	experimental warming ; Experimental warming ; réchauffement expérimental ; experimental warming
map	extinction	extinction ; extinctions ; Extinction ; extinction
map	extinction risk	extinction risk ; risk of extinction ; extinction risks ; Extinction risk ; risks of extinction ; risk for extinction ; risk from extinction ; risque d'extinction ; extinction risk
map	extreme drought	extreme drought ; extreme droughts ; drought extremes ; drought and extreme ; droughts and extreme ; extremes of drought ; sécheresse extrême ; extreme drought
map	extreme events	extreme events ; extreme event ; Extreme events ; événements extrêmes ; extreme events
map	extreme heat	extreme heat ; heat extremes ; Extreme heat ; extremes of heat ; extreme high temperature ; extreme high temperatures ; high extreme temperatures ; chaleur extrème ; extreme heat
map	extreme weather	extreme weather ; weather extremes ; weather extreme ; conditions météorologiques extrêmes ; extreme weather
map	farming	farming ; farm ; farms ; Farms ; agriculture ; farming
map	farming systems	farming systems ; farming system ; systems of farming ; systèmes agricoles ; farming systems
map	fatty acids	fatty acids ; fatty acid ; acides gras ; fatty acids
map	fecundity	fecundity ; fécondité
map	feedstock	feedstock ; feedstocks ; matières premières ; feedstock
map	field experiment	field experiment ; field experiments ; Field experiments ; expérience sur le terrain ; field experiment
map	fire	fire ; fires ; Fires ; incendies ; fire
map	fish assemblages	fish assemblages ; fish assemblage ; communautés de poissons ; fish assemblages
map	fish species	fish species ; espèces de poissons
map	fisheries	fisheries ; fishery ; Fisheries ; Fishery ; pêche ; fisheries
map	fisheries management	fisheries management ; fishery management ; management of fisheries ; gestion des pêcheries ; fisheries management
map	flood risk	flood risk ; flood risks ; Flood risk ; risques d'inondation ; flood risk
map	floods and droughts	floods and droughts ; droughts and floods ; drought and flood ; floods or droughts ; flood and drought ; inondations et sécheresses ; floods and droughts
map	flow regimes	flow regimes ; flow regime ; régimes d'écoulement ; flow regimes
map	focus groups	focus groups ; focus group ; groupes de discussion ; focus groups
map	food insecurity	food insecurity ; insécurité alimentaire
map	food production	food production ; production of food ; production alimentaire ; food production
map	food security	food security ; Food security ; security in food ; sécurité alimentaire ; food security
map	food supply	food supply ; food supplies ; food and supplies ; ravitaillement ; food supply
map	food system	food system ; food systems ; systems for food ; Système d'alimentation ; food system
map	food web	food web ; food webs ; chaîne alimentaire ; food web
map	forest	forest ; forests ; Forest ; forêt ; forest
